Generic,Category
Lisinopril, Cardiovascular
Metformin, Endocrine / Diabetes / Hormones
Metoprolol succinate ER, Cardiovascular
Losartan potassium, Cardiovascular
Hydrochlorothiazide, Cardiovascular
Atorvastatin, Cardiovascular
Amlodipine , Cardiovascular
Omeprazole , GI / Acid / Electrolytes
Albuterol , Respiratory / Allergy
Hydrocodone/APAP, Pain / Inflammation / Musculoskeletal
Levothyroxine, Endocrine / Diabetes / Hormones
Metoprolol tartrate, Cardiovascular
Simvastatin, Cardiovascular
Gabapentin, Psychiatry / Neurology
Sertraline, Psychiatry / Neurology
Fluticasone, Respiratory / Allergy
Amoxicillin , Infectious Disease
Citalopram, Psychiatry / Neurology
Carvedilol, Cardiovascular
Tramadol, Pain / Inflammation / Musculoskeletal
Montelukast, Respiratory / Allergy
Pantoprazole Sodium, GI / Acid / Electrolytes
Mixed Amphetamine Salts , Psychiatry / Neurology
Trazodone, Psychiatry / Neurology
Rosuvastatin, Cardiovascular
Furosemide, Cardiovascular
Acetaminophen, Pain / Inflammation / Musculoskeletal
Ibuprofen, Pain / Inflammation / Musculoskeletal
Fluoxetine, Psychiatry / Neurology
Semaglutide, Endocrine / Diabetes / Hormones
Insulin Glargine , Endocrine / Diabetes / Hormones
Clonazepam, Psychiatry / Neurology
Tamsulosin, Urology / Anticoagulation / Misc
Atenolol, Cardiovascular
Potassium, GI / Acid / Electrolytes
Clopidogrel, Cardiovascular
Propranolol, Cardiovascular
Aspirin, Cardiovascular
Cyclobenzaprine, Pain / Inflammation / Musculoskeletal
Lisinopril/HCTZ , Cardiovascular
Venlafaxine, Psychiatry / Neurology
Zolpidem Tartrate, Psychiatry / Neurology
Warfarin, Urology / Anticoagulation / Misc
Oxycodone, Pain / Inflammation / Musculoskeletal
Ethinyl Estradiol/Norethindrone, Endocrine / Diabetes / Hormones
Meloxicam, Pain / Inflammation / Musculoskeletal
Azithromycin, Infectious Disease
Metronidazole, Infectious Disease
Loratadine, Respiratory / Allergy
Lamotrigine, Psychiatry / Neurology
Glipizide, Endocrine / Diabetes / Hormones
Duloxetine, Psychiatry / Neurology
Methylphenidate, Psychiatry / Neurology
Lorazepam, Psychiatry / Neurology
Estradiol, Endocrine / Diabetes / Hormones
Allopurinol, Pain / Inflammation / Musculoskeletal
Ergocalciferol, Endocrine / Diabetes / Hormones
Insulin Aspart, Endocrine / Diabetes / Hormones
Ethinyl Estradiol/Norgestimate, Endocrine / Diabetes / Hormones
Glimepiride, Endocrine / Diabetes / Hormones
Fluticasone/Salmeterol , Respiratory / Allergy
Cetirizine, Respiratory / Allergy
Losartan/Hydrochlorothiazide , Cardiovascular
Paroxetine, Psychiatry / Neurology
Spironolactone, Cardiovascular
Folic Acid , Endocrine / Diabetes / Hormones
Sumatriptan, Psychiatry / Neurology
Ethinyl Estradiol/Drosperinone, Endocrine / Diabetes / Hormones
Hydroxyzine, Psychiatry / Neurology
Oxybutynin, Urology / Anticoagulation / Misc
Donepezil, Psychiatry / Neurology
Hydroxychloroquine, Pain / Inflammation / Musculoskeletal
Ramipril, Cardiovascular
Prednisolone, Pain / Inflammation / Musculoskeletal
Thyroid Extract, Endocrine / Diabetes / Hormones
Fenofibrate, Cardiovascular
Naproxen, Pain / Inflammation / Musculoskeletal
Pregabalin, Psychiatry / Neurology
Insulin Regular, Endocrine / Diabetes / Hormones
