Brand,Generic,Class,Treatment,Schedule
Prinivil,Lisinopril,ACEi,Antihypertensive,NCLM
Glucophage,Metformin,Biguanide,Diabetes medication,NCLM
Toprol XL,Metoprolol succinate ER,Beta-blocker,Antihypertensive,NCLM
Cozaar,Losartan potassium,ARB,Antihypertensive,NCLM
Microzide,Hydrochlorothiazide,Thiazide diuretic,Antihypertensives,NCLM
Lipitor ,Atorvastatin,HMG-CoA Reductase Inhibitor,Cholesterol lowering ,NCLM
Norvasc,Amlodipine ,Calcium Channel Blocker,Antihypertensive,NCLM
Prilosec,Omeprazole ,PPI,Acid-Reflux/GERD ,OTC & NCLM (strength) 
"ProAir HFA, Ventolin HFA",Albuterol ,Beta agonist ,"Bronchodilator, asthma",NCLM
"Vicodin, Norco, Lortab ",Hydrocodone/APAP,Opioid analgesic combination ,Pain reliever ,II
"Synthroid, Levoxyl",Levothyroxine,Thyroid hormone,Hypothyroidism,NCLM
Lopressor,Metoprolol tartrate,Beta-blocker,Antihypertensive,NCLM
Zocor,Simvastatin,HMG-CoA Reductase Inhibitor,Cholesterol lowering,NCLM
Neurontin,Gabapentin,Anticonvulsant,"Neruopathic pain, seizures","NCLM, V (some states)"
Zoloft,Sertraline,SSRI,Antidepressant,NCLM
Flonase,Fluticasone,Nasal steroid ,Allergic rhinitis ,OTC & NCLM as generic 
Amoxil,Amoxicillin ,Penicillin Antibiotic ,Bacterial Infection ,NCLM
Celexa,Citalopram,SSRI,Antidepressant,NCLM
Coreg,Carvedilol,Beta-Blocker ,Antihypertensives,NCLM
Ultram,Tramadol,Opioid Analgesic ,Pain Relief ,IV
Singulair,Montelukast,Leukotriene modulator ,Asthma treatment ,NCLM
Protonix ,Pantoprazole Sodium,PPI,Acid-Reflux/GERD ,NCLM
Adderall ,Mixed Amphetamine Salts ,Stimulant,ADHD,II
Desyrel,Trazodone,Antidepressant,Depression,NCLM
Crestor,Rosuvastatin,HMG-CoA Reductase Inhibitor ,Cholesterol Lowering,NCLM
Lasix,Furosemide,Loop of Henle diuretic,Antihypertensive,NCLM
Tylenol,Acetaminophen,"Anti-pyretic, analgesic",Pain Relief,OTC
Motrin,Ibuprofen,NSAID,Pain/Inflammation Relief,OTC & NCLM (strength)
Prozac,Fluoxetine,SSRI,Antidepressant,NCLM
Ozempic,Semaglutide,GLP-1 agonists,Type 2 Diabetes (off-label WL),NCLM
Lantus,Insulin Glargine ,Long-Acting Insulin ,Diabetes Agent ,NCLM
Klonopin,Clonazepam,Benzodiazepine,"Anxiety, Sedative",IV
Flomax,Tamsulosin,Alpha-Blocker ,Enlarged Prostate ,NCLM
Tenormin,Atenolol,Beta-Blocker ,Antihypertensive,NCLM
Klor-Con ,Potassium,Electrolyte,Electrolyte,NCLM
Plavix,Clopidogrel,"P2Y12 Inhibitor, Anti-platelet ",Clot Prevention ,NCLM
Inderal,Propranolol,Beta-Blocker ,Antihypertensive,NCLM
N/A ,Aspirin,"NSAID, Anti-Platelet ","Pain relief, Clot Prevention ",OTC
